hale	 adj.  健壮的， 矍铄的
verifiable	 adj.  能作证的
ascent	 n.  上升， 攀登； 上坡路； 提高， 提升
comprehensible	 adj.  可理解的， 易于理解的
motivate	 v.  激发， 刺激
projection	 n.  突起物， 隆起物； 设计， 规划； 发射， 投射
dissident	 n.  唱反调者
multiply	 v.  乘； 增加； 繁殖
fluffy	 adj.  有绒毛的； 无聊的， 琐碎的
immolate	 v.  牺牲， 献祭
hauteur	 n.  傲慢
hedonist	 n.  享乐主义者
hypochondriac	 adj.  忧郁症的 n. 忧郁症患者
conducive	 adj.  有助于…的， 有益的
iridescent	 adj.  色彩斑斓的
multiple	 adj.  多样的， 多重的
chaffing	 adj.  玩笑的， 嘲弄的
requite	 v.  报答； 报复
haggard	 adj.  憔悴的， 消瘦的
poignant	 adj.  令人痛苦的， 伤心的； 尖锐的， 尖刻的
puncture	 v. 刺穿，戳破 n.  刺孔， 穿孔
omnivorous	 adj.  杂食的； 兴趣杂的
foolproof	 adj.  极易懂的， 十分简单的
taking	 adj.  楚楚动人的， 迷人的
terrifying	 adj.  恐怖的
romance	 v.  虚构 n. 传奇故事；虚构；浪漫氛围；风流韵事
impeach	 v.  控告； 怀疑； 弹劾
artistry	 n.  艺术技巧
catalog	 n.  目录； 系列
immortal	 adj.  不朽的， 流芳百世的
narcissist	 n.  自恋狂， 自恋者
sate	 v.  使心满意足， 使厌腻
conjecture	 v&n.  推测， 臆测
burlesque	 n.  讽刺或滑稽的戏剧， 滑稽剧
sash	 n.  肩带
carrion	 n.  腐肉
conceit	 n.  自负， 自大
indelible	 adj.  擦拭不掉的， 不可磨灭的
timid	 adj.  羞怯的； 胆怯的， 怯懦的
decentralize	 v.  分散， 权力下放 from central government to regional government)
phobia	 n.  恐惧症
angular	 adj.  生硬的， 笨拙的； 有角的； 瘦削的
remit	 v.  免除； 宽恕； 汇款
fallow	 adj.  休耕的 n. 休耕地
assuredness	 n.  确定； 自信
podium	 n.  讲坛， 指挥台
ensue	 v.  接着发生
weightless	 adj.  无重力的， 失重的
hash	 n.  杂乱， 混乱； 杂烩菜
homage	 n.  效忠； 敬意
pine	 v.  憔悴； 渴望 n. 松树
stagger	 v.  蹒跚， 摇晃
enliven	 v.  使…更活跃或更愉快
syndrome	 n.  综合症
fraternity	 n.  同行； 友爱
redundancy	 n.  多余， 累赘； 裁员； 人浮于事
rote	 n.  死记硬背
forfeiture	 n.  丧失
jagged	 adj.  锯齿状的， 参差不齐的
harmonic	 adj.  和声的； 和谐的
toy	 v.  不认真地对待， 玩弄
beholden	 adj.  因受恩惠而心存感激，感谢；欠人情
impoverish	 v.  使贫穷
hallowed	 adj.  神圣的
whirlpool	 n.  旋涡
intellectual	 adj. 智力的；理性的 n.  知识分子
reclaim	 v.  纠正， 改造； 开垦
interchangeable	 adj.  可互换的
allegory	 n.  寓言
sarcastic	 adj.  讽刺的
interchangeably	 adv.  可互换地
disengage	 v.  脱离， 解开
officious	 adj.  过于殷勤的， 多管闲事的； 非官方的
resurrect	 v.  使复活； 复兴
cosycozy	 adj.  温暖而舒适的
cantankerous	 adj.  脾气坏的； 好争吵的
con	 v.  欺骗 n. 反对论
kudos	 n.  声誉， 名声
cow	 n. 母牛，奶牛 v. 恐吓，威胁
quack	 adj.  庸医的 n. 冒牌医生，庸医
reverberate	 v.  发出回声， 回响
coy	 adj.  腼腆的， 忸怩作态的
pacify	 v.  使安静， 抚慰
bruise	 v.  受伤， 擦伤
automation	 n.  自动装置
academic	 adj.  学院的， 学术的； 理论的
rove	 v.  流浪， 漂泊
patriot	 n.  爱国者， 爱国主义者
pernicious	 adj.  有害的； 致命的
rout	 n.  溃败
peddle	 v.  兜售
indistinguishable	 adj.  无法区分的， 难以分辨的
acidic	 adj.  酸的， 酸性的
hawk	 n.  隼， 鹰
voracity	 n.  贪食； 贪婪
impenitent	 adj.  不知悔悟的
avocation	 n.  副业； 嗜好
scission	 n.  切断， 分离， 断开
hazy	 adj.  朦胧的， 不清楚的
renowned	 adj.  有名的
clammy	 adj.  湿冷的， 发粘的
effective	 adj.  有效的， 生效的； 给人印象深刻的
pother	 v.  烦恼 n. 喧扰，骚动
flux	 n.  不断的变动， 变迁， 动荡不安
skullduggery	 n.  欺骗， 使诈
slattern	 adj. 不整洁的 n.  邋遢的女人
resurgence	 n.  再起， 复活， 再现
ideological	 adj.  意识形态的， 思想体系的； 思想上的
celibate	 adj.  不结婚的 n. 独身者
probe	 v.  调查， 探测
incorrigibility	 n.  无可救药
clamor	 n.  吵闹， 喧哗
harness	 v.  束以马具； 利用， 控制 n. 马具，挽具
impatience	 n.  不耐烦， 焦躁
sketch	 v.  画草图， 写概略 n. 草图，概略
narcissism	 n.  自恋， 自爱
fatten	 v.  长胖， 变肥； 使…肥沃； 装满
interlock	 v.  互锁， 连结
antiquarianism	 n.  古物研究， 好古癖
vertebrate	 n&adj.  脊椎动物
rectify	 v.  改正， 矫正； 提纯
eventual	 adj.  最终的
refrain	 v. 抑制 n.  叠句
pith	 n.  精髓， 要点
strut	 v. 趾高气扬地走 n.  支柱
jumble	 v. 使混乱，混杂 n.  混杂， 杂乱
typographical	 adj.  印刷上的
opposite	 adj.  相反的， 对立的
mendacious	 adj.  不真实的， 虚假的； 习惯性说谎的
aftermath	 n.  后果， 余波
cub	 n.  幼兽； 笨手笨脚的年轻人
cue	 v. 暗示，提示 n.  暗示， 提示
chortle	 v. 开心地笑，咯咯地笑 n.  得意的笑
footle	 v.  说胡话， 做傻事； 浪费)
stereotype	 n.  固定形式， 老套
infringe	 v.  违反， 侵害
jurisdiction	 n.  司法权， 审判权， 裁判权
concurrent	 adj.  并发的； 协作的， 一致的
harass	 v.  侵扰， 烦扰
moment	 n.  瞬间； 重要
irreverent	 adj.  不尊敬的
instinctive	 adj.  本能的
mettle	 n.  勇气， 斗志
tear	 v.  撕裂
attach	 v.  系上， 贴上， 附上
distribute	 v.  分发， 分配
stench	 n.  臭气， 恶臭
participate	 v.  分担； 参与； 分享
rapacious	 adj.  掠夺的； 贪婪的
lottery	 n.  抽彩给奖法
shove	 v.  推挤， 猛推
reflective	 adj.  反射的， 反照的； 深思熟虑的
suborn	 v.  收买， 贿赂
comatose	 adj.  昏迷的
bibliomania	 n.  藏书癖
huffy	 adj.  愤怒的， 恼怒的
cabinet	 n.  橱柜； 内阁
insubstantial	 adj.  无实体的； 脆弱的
variegate	 v.  使多样化， 使色彩斑澜
ostensible	 adj.  表面上的
tedious	 adj.  冗长的， 乏味的
initiate	 v.  发起， 开始； 接纳
prepossessing	 adj.  给人好感的
glare	 v.  发炫光； 怒目而视
terrestrial	 adj.  地球的； 陆地的
deception	 n.  欺骗， 诡计
slovenly	 adj.  不整洁的， 邋遢的
budget	 v.  做预算， 安排开支 n. 预算
interlocking	 adj.  连锁的； 关联的
ultimate	 adj.  最后的
prosecute	 v.  起诉； 告发
ancestral	 adj.  祖先的， 祖传的
arboreal	 adj.  树木的
carnivorous	 adj.  肉食动物的
assume	 v.  假定； 承担， 担任
fetid	 adj.  有恶臭的
askance	 adv.  斜视地
warranted	 adj.  保证的； 担保的
banish	 v.  放逐
intercede	 v.  说好话， 代为求情
disaster	 n.  灾难， 灾祸， 不幸
stark	 adj.  光秃秃的； 荒凉的； 僵硬的； 完全的
bellow	 v.  咆哮； 吼叫
progeny	 n.  后代， 子孙
agnostic	 adj. 不可知论的 n.  不可知论者
intermingle	 v.  混合， 掺杂
bicker	 v.  争吵， 口角
restorative	 adj.  恢复健康的
teem	 v.  充满； 到处都是； 暴降， 倾注
foreshadow	 v.  成为先兆， 预示
marvel	 v. 对…感到惊异 n.  奇迹
recipient	 n.  接受者， 收受者
replete	 adj.  充满的， 供应充足的
blemish	 v. 损害；玷污 n.  瑕疵， 缺点
befuddle	 v.  使迷惑不解； 使酒醉昏迷
stash	 v.  藏匿
inundate	 v.  淹没， 泛滥； 压倒
measured	 adj.  量过的， 精确的； 慎重的， 恰如其分的
rewarding	 adj.  有益的， 值得的
abreast	 adv.  并列， 并排
complementary	 adj.  互补的
extant	 adj.  现存的， 现有的
cliché	 adj. 陈腐的usedsooftenthatithasbecomestaleormeaningless) n.  陈词滥调
undemonstrable	 adj.  无法证明的， 难以证明的
restoration	 n.  恢复， 复原
epidermis	 n.  表皮， 外皮
inveigh	 v.  痛骂， 猛烈抨击
anathema	 n.  被诅咒的人； 革出教门， 诅咒
monochromatic	 adj.  单色的
undistorted	 adj.  未失真的
detonate	 v.  爆炸， 引爆
prudish	 adj.  过分守礼的， 假道学的
vagary	 n.  奇想， 异想天开
serried	 adj.  密集的
newsworthy	 adj.  有新闻价值的， 有报道价值的
benefactor	 n.  行善者， 捐助者
competence	 n.  胜任， 能力
frivolous	 adj.  轻薄的， 轻佻的
waddle	 v.  摇摇摆摆地走
assure	 v.  保证； 使确信
pretext	 n.  借口
consult	 v. 请教，咨询，商量 n.  咨询
gracious	 adj.  大方的， 和善的； 奢华的； 优美的， 雅致的
survive	 v.  幸存
dehumanize	 v.  使失掉人性
adversary	 adj.  对手的， 敌对的 n. 对手，敌手
precarious	 adj.  根据不足的， 未证实的； 不稳固的， 危险的
conceptual	 adj.  概念上的
evince	 v.  表明， 表示
furor	 n.  喧闹， 轰动； 盛怒
agoraphobic	 n&adj.  患旷野恐惧症的
tweak	 v.  扭， 拧， 揪； 调节， 微调
incubation	 n.  孵卵期； 潜伏期
belligerence	 n.  交战； 好战性， 斗争性
prevalent	 adj.  流行的， 盛行的
cling	 v.  紧紧抓住； 坚持
satire	 n.  讽刺
projectile	 n.  抛射体
oasis	 n.  绿洲
satiny	 adj.  光滑的， 柔软的
compact	 adj. 坚实的；简洁的 n.  合同， 协议
irrigate	 v.  灌溉； 冲洗 with a stream of liquid)
appetizing	 adj.  美味可口的， 促进食欲的
enlightening	 adj.  有启迪作用的； 使人领悟的
audible	 adj.  听得见的
celebrated	 adj.  有名的， 知名的
offish	 adj.  冷淡的
showy	 adj.  俗艳的； 炫耀的
stylize	 v.  使…风格化
depredation	 n.  劫掠， 蹂躏
ambush	 v.  埋伏 n. 埋伏；伏击
impressionable	 adj.  易受影响的
cynosure	 n.  注意的焦点
harrow	 v.  耙地； 使痛苦 n. 耙
nimble	 adj.  敏捷的， 灵活的
undergird	 v.  从底层支持， 加固…的底部
erratically	 adv.  不规律地， 不定地
countless	 adj.  无数的
fervor	 n.  热诚， 热烈
entertain	 v.  款待， 招待； 使欢乐， 娱乐
gulch	 n.  深谷， 峡谷
deceptive	 adj.  欺骗的， 导致误解的
critical	 adj.  挑毛病的； 关键的； 危急的
reciprocally	 adv.  相互地； 相反地
logistics	 n.  后勤学； 后勤
envision	 v.  想象， 预想
homogeneity	 n.  同种， 同质
inducement	 n.  引诱； 引诱物， 诱因， 动机
tend	 v.  照料， 照看
mumble	 v.  咕哝， 含糊不清地说
somber	 adj.  忧郁的； 阴暗的
equitable	 adj.  公正的， 合理的
specimen	 n.  范例， 样品， 标本
vituperate	 v.  谩骂， 辱骂
exotic	 adj.  异国的， 外来的； 奇异的， 珍奇的
revenge	 n.  报复， 报仇
subscribe	 v.  捐助； 订购
intemperance	 n.  放纵， 不节制， 过度
utopia	 n.  乌托邦
therapy	 n.  治疗
ineluctable	 adj.  不能逃避的
chromosome	 n.  染色体
illiberal	 adj.  偏执的， 思想狭隘的
crescendo	 n.  渐强； 高潮
paltry	 adj.  无价值的， 微不足道的
puffery	 n.  极力称赞， 夸大广告， 吹捧
concentration	 n.  专心， 专注； 集中； 浓度
velocity	 n.  速率， 速度； 迅速， 快速
malfeasance	 n.  不法行为， 渎职
successively	 adv.  接连地， 继续地
trumpery	 adj.  中看不中用的
condign	 adj.  罪有应得的 severe and well deserved)； 适宜的
resent	 v.  憎恶， 怨恨
quantifiable	 adj.  可以计量的； 可量化的
homespun	 adj.  朴素的； 家织的
underling	 n.  部下， 下属， 手下
instigate	 v.  怂恿， 鼓动， 煽动
den	 n.  兽穴， 窝
stunning	 adj.  极富魅力的
credulous	 adj.  轻信的， 易上当的
ashen	 adj.  灰色的， 苍白的, especially deadly pale)
exemplar	 n.  模范， 榜样
exuberance	 n.  愉快； 茁壮
adjudicate	 v.  充当裁判； 判决
apparition	 n.  幽灵； 特异景象
impact	 n.  冲击， 影响
grate	 v.  吱嘎磨碎； 使人烦躁， 刺激
scavenge	 v.  清除； 从废物中提取有用物质
strew	 v.  撒满， 散播
excogitate	 v.  认真想出
meddle	 v.  干涉， 干预
supine	 adj.  仰卧的； 懒散的
nascent	 adj.  初生的， 萌芽的
influential	 adj.  有影响力的
impinge	 v.  侵犯； 撞击
embryonic	 adj.  胚胎的； 萌芽期的
distinctive	 adj.  出众的， 有特色的
prefigure	 v.  预示； 预想
interstice	 n.  裂缝， 空隙
brag	 v.  吹嘘
override	 v.  驳回； 蹂躏， 践踏
latch	 n. 〔门或窗的〕闩，插销 v. 用碰(簧)锁锁上；用插销插上
rigid	 adj.  严格的； 僵硬的， 刚硬的
congruous	 adj.  一致的， 符合的；
advent	 n.  到来， 来临
forbear	 v.  克制； 忍耐
indestructible	 adj.  不能破坏的， 不可毁灭的
plainspoken	 adj.  直言不讳的
herbaceous	 adj.  草本的
enflame	 v.  燃烧
lucubrate	 v.  刻苦攻读， 埋头苦干， 专心著作
grumble	 v.  嘟囔， 抱怨， 发牢骚
clairvoyance	 n.  超人的洞察力
ruminate	 v.  反刍； 深思
cynic	 n.  犬儒主义者， 愤世嫉俗者
desert	 v.  遗弃， 离弃
interconnected	 adj.  相互连接的
die	 n.  金属模子， 金属印模
fragrant	 adj.  芳香的
dillydally	 v.  磨蹭， 浪费时间
rigor	 n.  严厉， 严格， 苛刻； 严密， 精确
dim	 v. 使暗淡，使模糊 adj.  昏暗的， 暗淡的
turgid	 adj.  肿胀的； 浮夸的
besiege	 v.  围攻； 困扰
anachronistic	 adj.  时代错误的
exemplary	 adj.  模范的， 典范的； 可仿效的
desuetude	 n.  废止， 不用
impudent	 adj.  鲁莽的， 无礼的
cliche	 n.  陈词滥调
adamant	 adj.  坚决的， 固执的； 强硬的
poignancy	 n.  辛辣， 尖锐
depravity	 n.  堕落， 恶习
fruition	 n.  实现， 完成
molten	 adj.  熔融的， 熔化的
impair	 v.  损害， 削弱
sumptuous	 adj.  豪华的， 奢侈的
stray	 v. 偏离，迷路 adj.  迷路的； 零落的
static	 adj.  静态的； 呆板的
evenhanded	 adj.  公平的， 不偏不倚的
bray	 v.  大声而刺耳地发出 loudly and harshly)
digressive	 adj.  离题的， 枝节的
diversify	 v.  多样化
aromatic	 adj.  芬芳的， 芳香的
brat	 n.  孩子； 顽童
inventive	 adj.  善于发明的， 有创造力的； 发明的
sermon	 n.  布道； 说教， 训诫
mendacity	 n.  不诚实
imbibe	 v.  喝； 吸入
vertigo	 n.  眩晕， 晕头转向
impermeable	 adj.  不可渗透的， 不透水的
emote	 v.  激动地表达感情
inoculate	 v.  注射预防针
pluralist	 n.  兼任数个宗教职位者， 兼职者
palate	 n.  上腭； 口味； 爱好
truant	 adj. 逃避责任的 n.  逃学者； 逃避者， 玩忽职守者
unconfirmed	 adj.  未经证实的
virtual	 adj.  实质上的， 实际上的
lathe	 v.  用车床加工 n. 车床
vegetate	 v.  像植物那样生长； 无所事事地生活
apposite	 adj.  适当的， 贴切的
arraign	 v.  传讯； 指责
guzzle	 v.  大吃大喝； 大量消耗
foppish	 adj.  纨绔子弟的； 浮华的， 俗丽的
pound	 v.  猛击， 连续重击； 狂跳， 怦怦地跳
ignore	 v.  不顾， 不理， 忽视
loaf	 v.  虚度光阴 n. 一条
applaud	 v.  鼓掌； 称赞
shoal	 adj.  浅的， 薄的 n. 浅滩，浅水处；一群
drollery	 n.  滑稽
erudite	 adj.  博学的， 饱学的
abusive	 adj.  谩骂的， 毁谤的； 虐待的
advert	 v.  注意， 留意； 提及
permeate	 v.  扩散， 弥漫； 穿透
insurgent	 adj. 叛乱的，起义的 n.  叛乱分子
indented	 adj.  锯齿状的； 高低不平的
grant	 v.  同意给予； 授予
podiatrist	 n.  足病医生
qualified	 adj.  合格的； 有限制的
relic	 n.  遗物， 遗迹， 遗风
construct	 v.  建造， 构造
rivalry	 n.  竞争， 对抗
stale	 adj.  不新鲜的， 陈腐的
stalk	 v.  隐伏跟踪
iconoclast	 n.  攻击传统观念或风俗的人
undeserving	 adj.  不值得的
ruminant	 adj.  反刍的； 沉思的
immaculate	 adj.  洁净的， 无瑕的
fallibility	 n.  易出错， 不可靠
iconoclasm	 n.  破坏偶像的理论， 打破旧习
chipper	 adj.  爽朗的， 活泼的
brew	 v.  酿酒； 沏， 煮； 酝酿， 即将发生
menace	 n&v.  威胁， 恐吓
plethora	 n.  过多， 过剩
dulcet	 adj.  美妙的， 悦耳的
debunk	 v.  揭穿真相， 暴露
substratum	 n.  基础； 地基
deflect	 v.  偏离， 转向
sideline	 n.  副业， 兼职
counterbalance	 v.  起平衡作用
status	 n.  身份， 地位
rebuff	 v.  断然拒绝
imperious	 adj.  傲慢的， 专横的
familiarity	 n.  熟悉； 亲近， 亲密； 不拘礼仪
diffusion	 n.  扩散， 弥漫； 冗长； 反射； 漫射
extraneous	 adj.  外来的； 无关的
disseminate	 v.  传播， 宣传
exodus	 n.  大批离去， 成群外出
cult	 n.  异教， 教派； 狂热的崇拜
crimp	 v.  使起皱， 使卷曲； 抵制， 束缚
digression	 n.  离题， 题外话
condemnation	 n.  谴责
accumulate	 v.  积聚， 积累
pristine	 adj.  原始的； 质朴的， 纯洁的； 新鲜的， 干净的
cull	 v. 挑选，精选 n.  剔除的东西
touchy	 adj.  敏感的， 易怒的
ogle	 v. 送秋波 n.  媚眼
forward	 adj.  过激的； 莽撞的， 冒失的， 无礼的
trenchant	 adj.  犀利的， 尖锐的
inexpedient	 adj.  不适当的， 不明智的
succor	 v.  救助， 援助
pantomime	 n.  哑剧
discreet	 adj.  小心的， 言行谨慎的
insincere	 adj.  不诚恳的， 虚伪的
bait	 v.  逗弄； 激怒 n. 诱饵
lunge	 n.  冲， 扑
evict	 v.  驱逐
revenue	 n.  收入， 收益； 税收
strip	 v. 剥去 n.  狭长的一片
liken	 v.  把…比作
monopoly	 n.  垄断； 专利权
stagy	 adj.  不自然的， 做作的
bilingual	 adj.  两种语言的
pretense	 n.  妄称， 自称； 假装， 伪装， 假象； 借口， 托词
unerringly	 adv.  无过失地
grain	 n.  谷物； 小的硬粒
combine	 v.  联合， 结合； 协力
fraudulent	 adj.  欺骗的， 不诚实的
alter	 v.  改变， 更改
brook	 n.  小河
travesty	 v.  滑稽地模仿
bearing	 n.  关系， 意义； 方位
wallow	 v. 打滚；沉迷 n.  打滚
disport	 v.  玩耍， 嬉戏
embroil	 v.  使混乱， 使卷入纠纷
streak	 v.  加线条 n. 条纹
undesirable	 adj.  不受欢迎的， 讨厌的
staid	 adj.  稳重的， 沉着的
wallop	 v.  重击， 猛打 n. 重击，猛击
compass	 n.  指南针， 罗盘； 界限， 范围
antidote	 n.  解药
pithy	 adj.  简练有力的， 言简意赅的
dispose	 v.  使倾向于； 处理
demure	 adj.  严肃的， 矜持的
bumper	 adj. 特大的 n.  保险杠
graft	 v. 嫁接，结合；贪污 n.  嫁接， 结合； 贪污
paradigm	 n.  范例， 示范
denunciate	 v.  公开指责， 公然抨击， 谴责
presage	 v.  预示 n.  预感
augury	 n.  占卜术； 预兆
stain	 v.  玷污； 染色
balk	 v.  妨碍； 畏缩不前 n. 梁木，大梁
bale	 n.  大包， 大捆； 灾祸， 不幸
paradox	 n.  似非而是的理论； 矛盾的人或物； 与通常的见解相反的观点
reprehensible	 adj.  应受谴责的
mania	 n.  癫狂； 狂热
sobriety	 n.  节制； 庄重
opposed	 adj.  反对的
rebuke	 v.  指责， 谴责
noisome	 adj.  有恶臭的； 令人作呕的， 令人讨厌的
banal	 adj.  乏味的， 陈腐的
spindly	 adj.  细长的， 纤弱的
eugenic	 adj.  优生的
tyrannical	 adj.  暴虐的， 残暴的
jibe	 v.  与…一致， 符合
fortify	 v.  加强， 巩固
purposiveness	 n.  目的性
eidetic	 adj.  异常清晰的； 极为逼真的
threat	 n.  威胁， 恐吓； 凶兆， 征兆
taunt	 v.  嘲弄， 嘲讽 n. 嘲笑，讥讽
devoid	 adj.  空的， 全无的
invention	 n.  发明， 创造； 发明才能， 创造力； 发现， 找到
boredom	 n.  厌烦； 令人厌烦的事物
tamper	 v.  干预， 损害； 篡改
inform	 v.  对…有影响； 使活跃， 使有生气； 告诉， 通知
psychological	 adj.  心理学的； 心理的， 精神的
dearth	 n.  缺乏， 短缺
commit	 v.  托付； 承诺； 犯罪
patriarchal	 adj.  家长的， 族长的； 父权制的
empirical	 adj.  经验的， 实证的
incorrigible	 adj.  积习难改的， 不可救药的
entrenched	 adj.  确立的， 牢固的
scurry	 v.  急跑， 疾行
supernova	 n.  超新星
reassure	 v.  使恢复信心； 使确信
divulge	 v.  泄露， 透露
bane	 n.  祸根
palette	 n.  调色板， 颜料配置
curt	 adj.  简略而草率的
beneficent	 adj.  慈善的， 仁爱的； 有益的
salutary	 adj.  有益的， 有益健康的
vexation	 n.  恼怒， 苦恼
upheaval	 n.  动乱， 剧变
dysfunctional	 adj.  功能失调的
divergent	 adj.  分叉的， 叉开的； 发散的， 扩散的； 不同的
august	 adj.  威严的， 令人敬畏的
intersperse	 v.  散布， 点缀
execute	 v.  执行， 履行； 将处死
celerity	 n.  快速， 迅速
prevision	 n.  预知， 先见
balm	 n.  香油， 药膏； 镇痛剂， 安慰物
foreknowledge	 n.  预知， 先见之明
levelheaded	 adj.  头脑冷静的， 清醒的
unique	 adj.  独一无二的， 独特的； 无与伦比的
miscreant	 n.  恶棍， 歹徒
hankering	 n.  渴望， 向往
furtive	 adj.  偷偷的， 秘密的
opalescent	 adj.  发乳白色光的
sober	 adj.  清醒的； 严肃的， 认真的
shelter	 v.  庇护， 保护 n. 避难所，遮蔽
expel	 v.  排出； 开除
invective	 n.  谩骂， 痛骂
scan	 v.  审视， 细看； 浏览， 扫描； 标出格律
uproar	 n.  喧嚣， 吵闹； 骚动， 骚乱
profane	 v.  亵渎， 玷污
partition	 n.  隔开； 隔墙
twee	 adj.  矫揉造作的， 故作多情的
identifiable	 adj.  可辨认的
oligarch	 n.  寡头政治； 寡头统治集团
atrocity	 n.  邪恶； 暴行
lasso	 n.  套索
unthreatening	 adj.  不危险的
entrepreneur	 n.  企业家， 创业人
puissant	 adj.  强大的， 有权力的
extensive	 adj.  广大的， 广阔的； 多方面的， 广泛的
residential	 adj.  住宅的， 与居住有关的
impostor	 n.  冒充者， 骗子
stab	 v.  刺伤， 戳
impart	 v.  传授， 赋予； 传递； 告知， 透露
inspire	 v.  鼓舞， 激励
operable	 adj.  可操作的， 可使用的； 可手术治疗的
militia	 n.  民兵
odious	 adj.  可憎的， 令人作呕的
approximate	 adj.  近似的， 大约的
lope	 v.  大步跑 n. 轻快的步伐
germicide	 n.  杀菌剂
itinerant	 adj.  巡回的
nominate	 v.  提名； 任命， 指定
tread	 v. 踏，践踏；行走 n.  步态； 车轮胎面
imperil	 v.  使陷于危险， 危及
sever	 v.  断绝， 分离
stationary	 adj.  静止的， 不动的
barn	 n.  谷仓
kennel	 n.  狗舍， 狗窝
speck	 n.  斑点； 少量
bare	 v. 暴露 adj.  赤裸的
abrogate	 v.  废止， 废除
plangent	 adj.  轰鸣的； 凄凉的
disarray	 n.  混乱， 无秩序
etymology	 n.  语源学
duress	 n.  胁迫
dense	 adj.  密集的， 浓密的
vandalize	 v.  肆意破坏
discrete	 adj.  个别的， 分离的； 不连续的
ingress	 n.  进入
disrupt	 v.  使混乱； 使中断
scar	 n.  伤痕， 伤疤
ferromagnetic	 adj.  铁磁的, 铁磁体的
converse	 v. 谈话，交谈['kɑːnvɜːrs] adj. 逆向的 n.  相反的事物
eccentric	 adj. 古怪的，反常的；
callow	 adj.  未生羽毛的； 未成熟的
farewell	 n.  辞行， 告别 interj. 再会，再见
lore	 n.  知识； 特定的知识或传说
mast	 n.  船桅， 桅杆
muggy	 adj.  闷热而潮湿的
revoke	 v.  撤销， 废除； 召回
contemptible	 adj.  令人轻视的
spoliation	 n.  抢劫， 掠夺
uneven	 adj.  不平坦的； 不一致的； 不对等的
threadbare	 adj.  磨破的； 陈腐的
mash	 v.  捣成糊状
detraction	 n.  贬低， 诽谤
chaste	 adj.  贞洁的； 朴实的
canary	 n.  金丝雀； 女歌星
apply	 v.  应用； 适用
jargon	 n.  胡言乱语； 行话
postwar	 adj.  战后的
ethereal	 adj.  太空的； 轻巧的， 轻飘飘的
ill-prepared	 adj.  准备不足的
nonthreatening	 adj.  不构成威胁的
bask	 v.  晒太阳， 取暖
canard	 n.  谣言， 假新闻
revolt	 v.  反叛， 造反； 反感， 厌恶
disgust	 n.  反感， 厌恶
tatty	 adj.  破旧的， 褴褛的； 破败的
tribute	 n.  赞词， 颂词； 贡物
stem	 n. 茎，
