weight-training	 举重运动
ex-gangster	 n. 有前科的歹徒，强盗
dealer	 n. 经销商，商人
coexist	 vi. 共存
disarm	 vt&vi. 解除武装，放下武器
sandbank	 n. 沙洲，沙丘
incoming	 adj. 正到达的，正来临的
tide	 n. 潮，潮汐；潮流
coastguard	 n. 海岸警卫队，水上警察
quicksand	 n. 流沙
wade	 vi&vt. 趟水，涉水
prompt	 adj. 敏捷的，迅速的
nominee	 n. 被提名者，被推荐者
layout	 n. (文章的)版式，版面设计
prose	 n. 散文
illustration	 n. 插图，图解
individualised	 adj. 个性化的
qualified	 adj. 有资格的，合格的
ease	 vt. 使顺利
gently	 adv. 和缓地；轻轻地
dietary	 adj. 饭食的 n. 规定的食物
aerobics	 n. 有氧运动法，增氧健身法
physiotherapy	 n. 物理疗法
sauna	 n. 桑拿浴，蒸汽浴
refreshment	 n. 精力恢复
membership	 n. 成员资格，会员资格
counsel	 vt. 劝告，忠告
clinical	 adj. 临床的，病房用的
consultation	 n. （专业人士的）建议；咨询
adore	 vt. 喜爱；崇拜
harsh	 adj. 无情的；粗糙的
distress	 vt. 使痛苦，使忧伤
meow	 n. 猫叫声 vi. 猫叫
innermost	 adj. 内心的；最里面的
chase	 n&vt. 追赶，追逐
trigger	 vt. 引发，引起，触发
exasperate	 vt. 激怒，触怒
derange	 vt. 使错乱，扰乱
prescribe	 vt& vi. 开药方，处方
sibling	 n. 兄弟，姐妹，同胞
companionship	 n. 友谊，交谊
psychologically	 adv. 心理上地
tertiary	 adj. 第三级的
undergraduate	 n. 大学生
vocational	 adj. 职业的
zoology	 n. 动物学
gown	 n. 长袍，礼服
prestigious	 adj. 享有声望的
interconnect	 vt. 使互相连接
postgraduate	 n. 研究生
secondary	 adj. 中等教育的；次要的
fountain	 n. 泉水，喷泉
refresher course	 进修课程
myth	 n. 神话，虚构的故事
toddler	 n. 初学走路的孩子
inheritance	 n. 遗传，遗产
inability	 n. 无能
dubious	 adj. 可疑的，不确定的
derive	 vt&vi. 得到，获得；起源
sustain	 vt. 长期保持
questionnaire	 n. 调查表，问卷
subject	 vt. 使遭受（某种经历）
agility	 n. 敏捷，活泼
significantly	 adv. 意味深长地，值得注目地
nocturnal	 adj. 夜间发生的
predator	 n. 食肉动物
pushy	 adj. 执意强求的；死缠硬磨的
overstimulate	 vt. 过度刺激，过度激励
self-esteem	 n. 自尊
rife	 adj. 普遍的
expectant	 adj. 期待的，预期的
self respect	 n. 自尊，自重
enrolment	 n. 入学，登记
plethora	 n. 过多，过剩
arithmetic	 n. 算术，算法
psychiatric	 adj. 精神病学的，精神病治疗的
Dutch	 adj. 荷兰的，荷兰人的
beset	 vt. 困扰
interact	 vi. 交流；交往；互相作用
peer	 n. 同龄人，同辈
internalise	 vt. 使……内在化
speculate	 vt. 推测
psychiatrist	 n. 精神病医师，精神病学家
idiot	 n. 白痴，傻瓜
savant	 n. 博学之士
depict	 vt. 描述，描写
conscious	 adj. 有意识的，有知觉的
zap	 vt. 毁坏；打击；快速度换频道
zapper	 n. 遥控器；灭杀器
magnetic	 adj. 磁的，有磁性的
stimulation	 n. 刺激；激励；鼓舞
recruit	 vt&vi. 劝说；招聘
inactivity	 n. 静止，休止状态
citizenship	 n. 公民权利，公民身份
cookery	 n. 烹调术
DIY	 abbr. 自己动手做
incompetent	 adj. 不合格的，不胜任的
assembly	 n. 集会
fundamentally	 adv. 根本上，基本上
flourish	 vi&vt. 繁荣；兴旺；茁壮成长
undue	 adj. 不适当的
essentially	 adv. 本质上，本来
empathy	 n. 同情，同感
tolerance	 n. 宽容，忍受，容忍
viewpoint	 n. 观点
weave	 vt. 编；织；编造
overt	 adj. 明显的，公然的
interpersonal	 adj. 人与人之间的
entity	 n. 独立存在体
interteam	 adj. 团队间的
intolerance	 n. 不能容忍
homophobia	 n. 对同性恋的憎恶
sexism	 n. 性别歧视
expertise	 n. 专门技能（知识）
articulate	 vt. 清晰地表达
tickle	 vt. 使发痒
intake	 n. 吸气
nostril	 n. 鼻孔
seal	 vt. 封，密封
chin	 n. 下巴，下颚
resuscitate	 vt. 使恢复知觉；使苏醒
self-preservation	 自卫本能
irreparable	 adj. 不能挽回的
straighten	 vt. (使)弄直，伸直
pinch	 v. 捏，拧，掐
exhale	 vi. 呼气
cardiac	 adj. 心脏的
irrelevant	 adj. 不相关的，不切题的
literacy	 n. 读写能力
performance-related pay	 与工作表现挂钩的工资
cramming	 n. 填鸭式教学
mockery	 n. 嘲笑
tuition	 n. 学费
chatty	 adj. 饶舌的，爱讲闲话的
grumpy	 adj. 脾气坏的，性情乖戾的
irritable	 adj. 易怒的，急躁的
fussy	 adj. 爱挑剔的，过于讲究的，难以取悦的
sulk	 vi. 生闷气，愠怒
breezy	 adj. 有微风的
loathe	 vt. 厌恶，憎恨
growl	 vi. 发牢骚地说
tidiness	 n. 整齐，整洁
fanatically	 adv. （对某种事物或活动）入迷地
tut	 vi. 啧啧（表示不赞同）
moan	 vi& n. 抱怨；呻吟，呜咽
drive sb.mad	 使……发疯
despise	 vt. 鄙视
intrude	 vt. 打扰，干涉，侵扰
extrovert	 n. 性格外向者
pry	 vi. 探查
suspicious	 adj. 可疑的，怀疑的
childishly	 adv. 天真地，幼稚地
go against	 反对，违反
shipwreck	 n. 海难，船只失事 vt. 使遭海难
cameraman	 n. 照相师，摄影师
call for	 需要，要求
shortlist	 n. (从初选名单再筛选出的)决选名单
bear in mind	 记住
rating	 n. (电影、电视节目的)排行榜
prime	 adj. 最重要的，首要的
stiff	 adj. 艰难的；严厉的
irresponsible	 adj. 不负责任的，不可靠的
swimsuit	 n. (女)游泳衣
interaction	 n. 交互作用，互动
overbearing	 adj. 专横的，飞扬跋扈的
loner	 n. 孤独的人，喜欢独处的人
upgrade	 vt. 提高级别，提升
distracted	 adj. 心烦意乱的
campus	 n. 大学校园
pros and cons	 赞成与反对
make use of	 利用
meet up with	 偶遇
powder	 n. 粉，粉末
untidy	 adj. 不整洁的，凌乱的
hassle	 vt&vi. 烦扰，不断打扰
unfriendly	 adv. 不友善地，不利地
rejection	 n. 拒绝
reassurance	 n. 放心
frustration	 n. 挫折，受挫
enormous	 adj. 巨大的，庞大的
unhappiness	 n. 忧愁，苦恼
overhear	 vt. 无意中听到，偷听
rumour	 n. 谣言，传闻
turn against	 (使)与……为敌
syndrome	 n. 综合病症
swing	 n&vi. 摇摆，摆动
hormonal	 adj. 荷尔蒙的，激素的
on the heels of	 紧接着
conception	 n. 构思；理解；怀孕
endurance	 n. 忍耐（力），持久（力），耐久（性）
gender	 n. 性别，性
roughly	 adv. 概略地，粗糙地
hip	 n. 臀部
cosmetic	 n. 化妆品
client	 n. 顾客，客户
youthful	 adj. 年轻的，青年的
anthropologist	 n. 人类学家
outstrip	 vt. 超过
antisocial	 adj. 反社会的
susceptible	 adj. 易受影响的
infectious	 adj. 易传染的
side effect	 (药物等的)副作用
bowel	 n. 肠，内部
motherhood	 n. 母性；母亲身份
evolve	 vt&vi. 发展
rear	 vt&vi. 培养，饲养
parenthood	 n. 父母身份
