ability	 n. 能力，能耐；才能
article	 n. 文章；物品；条款；[语] 冠词 v. 订约将…收为学徒或见习生；使…受协议条款的约束
as	 conj. 因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的
Asia	 n. 亚洲
Asian	 n. 亚洲人 adj. 亚洲的；亚洲人的
ask	 v. 问，询问；要求；需要；邀请；讨价 n. (Ask)人名；(芬、瑞典)阿斯克
asleep	 adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态
at	 prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr. 密封的（airtight）；气温（air temperature）
Atlantic	 n. 大西洋 adj. 大西洋的
attention	 n. 注意力；关心；立正！（口令）
August	 adj. 威严的；令人敬畏的 n. 八月（简写为Aug）
aunt	 n. 阿姨；姑妈；伯母；舅妈
Australia	 n. 澳大利亚，澳洲
Australian	 adj. 澳大利亚的，澳大利亚人的 n. 澳大利亚人
autumn	 n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的
available	 adj. 可获得的；可购得的；可找到的；有空的
avoid	 v. 避免；避开，躲避；消除
away	 adv. 离去，离开；在远处
baby	 n. 婴儿，婴孩；孩子气的人 v. 纵容，娇纵；把……当婴儿般对待 adj. 婴儿的；幼小的
back	 n. 后面；背部；靠背；足球等的后卫；书报等的末尾 v. 支持；后退；背书；下赌注 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的
background	 n. 背景；隐蔽的位置 v. 作…的背景 adj. 背景的；发布背景材料的
bag	 n. 袋；猎获物；（俚）一瓶啤酒 v. 猎获；把…装入袋中；占据，私吞；使膨大
ball	 n. 球；舞会 v. 成团块
balloon	 v. 激增；膨胀如气球 n. 气球 adj. 像气球般鼓起的
bamboo	 n. 竹，竹子 vt. 为…装上篾条 adj. 竹制的；土著居民的
banana	 n. 香蕉；喜剧演员；大鹰钩鼻
bank	 n. 银行；岸；浅滩；储库 v. 将…存入银行；倾斜转弯
basic	 adj. 基本的；基础的 n. 基础；要素
basket	 n. 篮子；（篮球比赛的）得分；一篮之量；篮筐 vt. 装入篮
basketball	 n. 篮球；篮球运动
bathroom	 n. 浴室；厕所；盥洗室
be	 v. 是； 有，存在； 做，成为； 发生 n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝
beach	 n. 海滩；湖滨 v. 将…拖上岸
bear	 v. 结果实，开花（正式） n. 熊
beautiful	 adj. 美丽的
because	 conj. 因为
bed	 n. 床；基础；河底， 海底 v. 使睡觉；安置，嵌入；栽种
bedroom	 n. 卧室 adj. 两性关系的；城郊住宅区的
bee	 n. 蜜蜂，蜂；勤劳的人
beef	 n. 牛肉；肌肉；食用牛；牢骚 v. 抱怨，告发；发牢骚
before	 prep. 在…之前，先于 adv. 以前；在前 conj. 在…以前；在…之前
behaviour	 n. 行为；习性；运行状况（=behavior）
behind	 prep. 落后于；支持；晚于 adv. 在后地；在原处 n. 屁股
believe	 v. 信任；料想；笃信宗教
bell	 n. 铃，钟；钟声，铃声；钟状物 v. 装钟于，系铃于
below	 adv. 在下面，在较低处；在本页下面 prep. 在…下面 n. (Below)人名；(英、德、芬、瑞典)贝洛
beside	 prep. 在旁边；与…相比；和…无关
besides	 adv. 此外；而且 prep. 除…之外
between	 prep. 在…之间 adv. 在中间
beyond	 prep. 超过；越过；那一边；在较远的一边 adv. 在远处；在更远处 n. 远处
big	 adj. 大的；重要的；量大的 adv. 大量地；顺利；夸大地 n. (Big)人名；(土)比格
bike	 n. 自行车；脚踏车 v. 骑自行车（或摩托车）
bill	 n. [法] 法案；广告；账单；[金融] 票据；钞票；清单 v. 宣布；开账单；用海报宣传
bird	 n. 鸟；家伙；羽毛球 v. 向…喝倒彩；起哄
birth	 n. 出生；血统，出身；起源
birthday	 n. 生日，诞辰；诞生的日子
biscuit	 n. 小点心，饼干
bit	 n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块 vt. 控制 adj. 很小的；微不足道的 adv. 有点儿；相当
bitter	 adj. 苦的；痛苦的；尖刻的；充满仇恨的 n. 苦味；苦啤酒 adv. 激烈地；严寒刺骨地 v. 使变苦
black	 adj. 黑色的；黑人的；邪恶的 n. 黑色；黑人；黑颜料 v. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
blackboard	 n. 黑板
blind	 adj. 盲目的；瞎的 adv. 盲目地；看不见地 n. 掩饰，借口；百叶窗 v. 使失明；使失去理智
blood	 n. 血，血液；血统 v. 从…抽血；使先取得经验
blue	 n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌） adj. 蓝色的；沮丧的，忧郁的；下流的 v. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于
board	 n. 董事会；木板；甲板；膳食 v. 上（飞机、车、船等）；用板盖上；给提供膳宿
boat	 n. 小船；轮船 v. 划船
body	 n. 身体；主体；大量；团体；主要部分 v. 赋以形体
book	 n. 书籍；卷；帐簿；名册；工作簿 v. 预订；登记
boring	 adj. 无聊的；令人厌烦的 n. 钻孔 v. 钻孔；使厌烦；挖空（bore的ing形式）
born	 v. 出世（bear的过去分词） adj. 天生的 n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
borrow	 v. 借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗
boss	 n. 老板；首领；工头 v. 指挥，调遣；当…的领导
both	 adj. 两个的；两者的 adv. 并；又；两者皆 pron. 双方都；两者都 conj. 既…且… n. (Both)人名；(德、罗、捷、南非、匈)博特
bottle	 n. 瓶子；一瓶的容量 v. 控制；把…装入瓶中
bottom	 n. 底部；末端；臀部；尽头 adj. 底部的 v. 装底；测量深浅；查明真相
bowl	 n. 碗；木球；大酒杯 v. 玩保龄球；滑动；平稳快速移动
box	 n. 箱，盒子；包厢；一拳 v. 拳击
boy	 n. 男孩；男人
brain	 n. 头脑，智力；脑袋 v. 猛击…的头部
brave	 adj. 勇敢的；华丽的 v. 勇敢地面对 n. 勇士
bread	 n. 面包；生计 v. 在…上洒面包屑
breakfast	 n. 早餐；早饭 v. 吃早餐
breath	 n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
breathe	 v. 呼吸；低语；松口气；（风）轻拂
bridge	 n. 桥；桥牌；桥接器；船桥 v. 架桥；渡过
bright	 adj. 明亮的，鲜明的；聪明的；愉快的 adv. 明亮地；光明地；欢快地 n. 车头灯光
brother	 n. 兄弟；同事；战友 int. 我的老兄！
brown	 adj. 棕色的，褐色的；太阳晒黑的 v. 变成褐色 n. 褐色，棕色
brush	 n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴 v. 刷；画；
building	 n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）
bus	 n. 公共汽车
business	 n. 商业；[贸易] 生意；[贸易] 交易；事情
busy	 adj. 忙碌的；热闹的；正被占用的 v. 使忙于 n. (Busy)人名；(匈)布希；(法)比西
but	 conj. 但是；而是；然而 adv. 仅仅，只 prep. 除…以外 n. (But)人名；(俄、罗)布特；(越)笔
butter	 v. 涂黄油于；讨好 n. 黄油；奶油；奉承话
butterfly	 n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
by	 prep. 通过；被；依据；经由；在附近；在……之前 adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名
bye	 int. 再见 n. 轮空；次要的东西 adj. 次要的
cabbage	 n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cake	 n. 蛋糕；块状物；利益总额 v. 使结块
call	 v. 呼叫；拜访；叫牌 n. 电话；呼叫；要求；访问
camel	 n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 adj. 驼色的；暗棕色的 vi. 工作刻板平庸
camera	 n. 照相机；摄影机
camp	 v. 露营；扎营 n. 露营
can	 v. 将…装入密封罐中保存 aux. 能； 能够； 可以； 可能 n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
Canada	 n. 加拿大（北美洲国家）
cancel	 v. 取消；删去 n. 取消，撤销
candle	 n. 蜡烛；烛光；烛形物 v. 对着光检查
cancer	 n. 癌症；恶性肿瘤
candy	 v. 用糖煮；使结晶为砂糖；美化 n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品 adj. 新潮的（服饰）；甜言蜜语的
cap	 n. 盖；帽子 v. 脱帽致意
capital	 n. 首都，省会；资金；大写字母；资本家 adj. 首都的；重要的；大写的
captain	 n. 队长，首领；船长；上尉；海军上校 v. 指挥；率领
car	 n. 汽车；车厢
card	 n. 卡片；纸牌；明信片 v. 记于卡片上
care	 n. 关怀；照料；谨慎；忧虑 v. 照顾；关心；喜爱；顾虑
careful	 adj. 仔细的，小心的
careless	 adj. 粗心的；无忧无虑的；淡漠的 n. (Careless)人名；(英)凯尔利斯
carry	 v. 拿，扛；携带；支持；搬运 n. 运载；[计] 进位；射程
cat	 n. 猫，猫科动物
cause	 n. 原因；事业；目标 v. 引起；使遭受
CD	 abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
ceiling	 n. 天花板；上限
celebrate	 v. 庆祝；举行；赞美；祝贺；宣告
cent	 n. 分；一分的硬币；森特（等于半音程的百分之一）
centre	 v. 以…为中心 n. 中心 adj. 中央的
century	 n. 世纪，百年；（板球）一百分
certain	 adj. 某一；必然的；确信；无疑的；有把握的 pron. 某些；某几个 n. (Certain)人名；(葡)塞尔塔因；(法)塞尔坦
chair	 n. 椅子；讲座；（会议的）主席位；大学教授的职位 v. 担任（会议的）主席；使…入座；使就任要职
chairman	 n. 主席，会长；董事长
chalk	 v. 用粉笔写；用白垩粉擦；记录；规划 n. 粉笔；白垩；用粉笔划的记号 adj. 用粉笔写的
chance	 n. 机会，际遇；运气，侥幸；可能性 v. 偶然发生；冒……的险
change	 v. 改变；交换 n. 变化；找回的零钱
chant	 n. 圣歌；赞美诗 v. 唱；诵扬
cheap	 adj. 便宜的；小气的；不值钱的 adv. 便宜地
cheat	 v. 欺骗；骗取 n. 欺骗，作弊；骗子
check	 v. 检查，核对；制止，抑制；在…上打勾 n. <美>支票；制止，抑制；检验，核对
cheer	 v. 欢呼；使高兴；为…加油 n. 欢呼；愉快；心情；令人愉快的事
cheese	 n. [食品] 奶酪；干酪；要人 v. 停止 adj. 叛变的；胆小的
chemistry	 n. 化学；化学过程
chess	 n. 国际象棋，西洋棋
chest	 n. 胸，胸部；衣柜；箱子；金库
chicken	 n. 鸡肉；小鸡；胆小鬼，懦夫 adj. 鸡肉的；胆怯的；幼小的
China	 n. 中国 adj. 中国的；中国制造的
Chinese	 n. 中文，汉语；中国人 adj. 中国的，中国人的；中国话的
chocolate	 n. 巧克力，巧克力糖；巧克力色 adj. 巧克力色的；巧克力口味的
choice	 n. 选择；选择权；精选品 adj. 精选的；仔细推敲的
chopsticks	 n. 筷子
Christmas	 n. 圣诞节；圣诞节期间
church	 n. 教堂；礼拜；教派 adj. 教会的；礼拜的 v. 领…到教堂接受宗教仪式
cinema	 n. 电影；电影院；电影业，电影制作术
circle	 n. 循环，周期；圆；圈子；圆形物 v. 盘旋，旋转；环行
city	 n. 城市，都市 adj. 城市的；都会的
clap	 v. 鼓掌，拍手；啪地关上 n. 鼓掌；拍手声
class	 n. 阶级；班级；种类；班；等级 v. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级 adj. 极好的；很好的，优秀的，出色的
classmate	 n. 同班同学
classroom	 n. 教室
clean	 adj. 清洁的，干净的；清白的 v. 使干净 adv. 完全地 n. 打扫
clear	 adj. 清楚的；清澈的；晴朗的；无罪的 v. 通过；清除；使干净；跳过 adv. 清晰地；完全地 n. 清除；空隙
clever	 adj. 聪明的；机灵的；熟练的
climb	 v. 爬；攀登；上升 n. 爬；攀登
clock	 n. 时钟；计时器 v. 记录；记时
clone	 n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物 v. 无性繁殖，复制
close	 adj. 紧密的；亲密的；亲近的 v. 关；结束；使靠近 adv. 紧密地 n. 结束
clothes	 n. 衣服
cloud	 n. 云；阴云；云状物；一大群；黑斑 v. 使混乱；以云遮敝；使忧郁；玷污
cloudy	 adj. 多云的；阴天的；愁容满面的
club	 n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花 v. 用棍棒打；募集 adj. 俱乐部的
coach	 n. 教练；旅客车厢；长途公车；四轮大马车 v. 训练；指导
coal	 v. 上煤；加煤 n. 煤；煤块；木炭
coast	 v. 滑行；沿岸航行 n. 海岸；滑坡
coat	 n. 外套 v. 覆盖…的表面
coffee	 n. 咖啡；咖啡豆；咖啡色
coin	 v. 铸造（货币）；杜撰，创造 n. 硬币，钱币
coke	 n. 焦炭；可卡因；可口可乐（Coca-Cola） v. 焦化
cold	 adj. 寒冷的；冷淡的，不热情的；失去知觉的 n. 寒冷；感冒 adv. 完全地
collect	 v. 收集；募捐 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名；(英)科莱克特
college	 n. 大学；学院；学会
comfortable	 adj. 舒适的，舒服的 n. 盖被
common	 adj. 共同的；普通的；一般的；通常的 n. 普通；平民；公有地
communicate	 v. 通讯，传达；相通；交流；感染
communication	 n. 通讯，[通信] 通信；交流；信函
company	 n. 公司；陪伴，同伴；连队 v. 交往
compare	 n. 比较 v. 比拟，喻为；[语]构成
competition	 n. 竞争；比赛，竞赛
complete	 adj. 完整的；完全的；彻底的 v. 完成
composition	 n. 作文，作曲，作品；[材] 构成；合成物；成分
computer	 n. 计算机；电脑；电子计算机
concert	 n. 音乐会；一致；和谐 v. 使协调；协同安排 adj. 音乐会用的；在音乐会上演出的
condition	 n. 条件；情况；环境；身份 v. 决定；使适应；使健康；以…为条件
conference	 n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会 vi. 举行或参加（系列）会议
connect	 v. 连接；联合；关连
continue	 v. 继续，延续；仍旧，连续
control	 n. 控制；管理；抑制；操纵装置 v. 控制；管理；抑制
conversation	 n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
cook	 v. 烹调，煮 n. 厨师，厨子
cooker	 n. 炊具；烹饪用水果；窜改者
cool	 adj. 凉爽的；冷静的；出色的 v. 使…冷却；使…平静下来 n. 凉爽；凉爽的空气 adv. 冷静地
copy	 v. 复制；复印；抄袭 n. 副本；一册；摹仿
corner	 n. 角落，拐角处；地区，偏僻处；困境，窘境 v. 囤积；相交成角
correct	 v. 改正；告诫 adj. 正确的；恰当的；端正的
cotton	 n. 棉花；棉布；棉线 v. 一致；理解；和谐；亲近 adj. 棉的；棉制的
cough	 n. 咳嗽，咳嗽声；咳嗽病 v. 咳出
could	 aux. 能够 v. 能（can的过去式）
count	 v. 计算；认为 n. 计数；计算；伯爵
country	 n. 国家，国土；国民；乡下，农村；乡村；故乡 adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的
countryside	 n. 农村，乡下；乡下的全体居民
couple	 n. 对；夫妇；数个 v. 结合；成婚
courage	 n. 勇气；胆量
course	 n. 科目；课程；过程；进程；道路；路线，航向；一道菜 v. 追赶；跑过
cousin	 n. 堂兄弟姊妹；表兄弟姊妹
cover	 v. 包括；采访，报导；涉及 n. 封面，封皮；盖子；掩蔽物;幌子，借口
cow	 n. 奶牛，母牛；母兽 v. 威胁，恐吓
crayon	 n. 蜡笔，有色粉笔 v. 以蜡笔作画，用颜色粉笔画
crazy	 adj. 疯狂的；狂热的，着迷的
create	 v. 创造，创作；造成
cross	 n. 交叉，十字；十字架，十字形物 v. 交叉；杂交；横过 adj. 交叉的，相反的；乖戾的；生气的
cruel	 adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
cry	 v. 叫喊；哭出；大声说 n. 叫喊；叫声；口号；呼叫
culture	 n. 文化，文明；修养；栽培 v. [细胞][微] 培养（等于cultivate）
cup	 n. 杯子；奖杯；酒杯 v. 使成杯状；为…拔火罐
daily	 adj. 日常的；每日的 n. 日报；朝来夜去的女佣 adv. 日常地；每日；天天
dance	 n. 舞蹈；舞会；舞曲 v. 跳舞；跳跃；飘扬 adj. 舞蹈的；用于跳舞的
danger	 n. 危险；危险物，威胁
dangerous	 adj. 危险的
dare	 n. 挑战；挑动 v. 敢冒；不惧
dark	 adj. 黑暗的，深色的；模糊的；无知的；忧郁的 n. 黑暗；夜；黄昏；模糊
date	 n. 日期；约会；年代；枣椰子 v. 过时；注明日期；始于（某一历史时期）
daughter	 n. 女儿；[遗][农学] 子代 adj. 女儿的；子代的
day	 n. 一天；时期；白昼 adv. 每天；经常在白天地 adj. 日间的；逐日的
dead	 adj. 无生命的；呆板的；废弃了的 adv. 完全地 n. 死者
deaf	 adj. 聋的
deal	 v. 处理；给予；分配；发牌 n. 交易；（美）政策；待遇；份量
dear	 adj. 亲爱的；尊敬的；昂贵的 adv. 高价地；疼爱地 int. 哎呀 n. 亲爱的人
death	 n. 死；死亡；死神；毁灭
December	 n. 十二月
decide	 v. 决定；解决；判决
decision	 n. 决定，决心；决议
deep	 n. 深处；深渊 adj. 深的；低沉的；深奥的 adv. 深入地；深深地；迟
delicious	 adj. 美味的；可口的
dentist	 n. 牙科医生
depend	 v. 依赖，依靠；取决于；相信，信赖
describe	 v. 描述，形容；描绘
develop	 v. 开发；进步；使成长；使显影
development	 n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影
dialogue	 n. 对话；意见交换 vi. 对话 vt. 用对话表达
diary	 n. 日志，日记；日记簿
dictionary	 n. 字典；词典
die	 v. 死亡；凋零；熄灭 n. 冲模，钢模；骰子
difference	 n. 差异；不同；争执
different	 adj. 不同的；个别的，与众不同的
difficult	 adj. 困难的；不随和的；执拗的
difficulty	 n. 困难，困境
dinner	 n. 晚餐，晚宴；宴会；正餐
direct	 adj. 直接的；直系的；亲身的；恰好的 v. 管理；指挥；导演；指向 adv. 直接地；正好；按直系关系
dirty	 adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的 v. 弄脏
discover	 v. 发现；发觉
discovery	 n. 发现，发觉；被发现的事物
discuss	 v. 讨论；论述，辩论
discussion	 n. 讨论，议论
disease	 n. 病，[医] 疾病；弊病 vt. 传染；使…有病
dish	 n. 盘；餐具；一盘食物；外貌有吸引力的人 v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
dismiss	 v. 解散；解雇；开除；让离开；不予理会、不予考虑
disturb	 v. 打扰；妨碍；使不安；弄乱；使恼怒
divide	 v. 划分；除；分开；使产生分歧 n. [地理] 分水岭，分水线
doctor	 v. 修理；篡改，伪造；为…治病；授以博士学位 n. 医生；博士
dog	 n. 狗；丑女人；卑鄙的人；(俚)朋友 v. 跟踪；尾随
doll	 n. 洋娃娃；玩偶；无头脑的美丽女人 v. 把…打扮得花枝招展
dollar	 n. 美元
door	 n. 门；家，户；门口；通道
double	 n. 两倍；双精度型 adj. 双重的；两倍的 v. 加倍，加倍努力；快步走 adv. 双重地；两倍地；弓身地
doubt	 n. 怀疑；疑问；疑惑 v. 怀疑；不信；恐怕；拿不准
down	 adv. 向下，下去；在下面 adj. 向下的 n. 软毛，绒毛；[地质] 开阔的高地 prep. 沿着，往下 v. 打倒，击败
downstairs	 adv. 在楼下 adj. 楼下的 n. 楼下
dozen	 n. 十二个，一打 adj. 一打的
drawer	 n. 抽屉；开票人；出票人；起草者；酒馆侍
dress	 v. 给…穿衣 n. 连衣裙；女装
driver	 n. 驾驶员；驱动程序；起子；传动器
drop	 v. 滴；使降低；使终止；随口漏出 n. 滴；落下；空投；微量；滴剂
drug	 n. 药；毒品；麻醉药；滞销货 v. 使服麻醉药；使服毒品；掺麻醉药于
drum	 v. 击鼓；大力争取 n. 鼓；鼓声
dry	 adj. 干的；口渴的；枯燥无味的；禁酒的 v. 把…弄干 n. 干涸
duck	 n. 鸭子；鸭肉；（英）宝贝儿；零分 v. 闪避；没入水中
dumpling	 n. 饺子，汤团；面团布丁
during	 prep. 在…的时候，在…的期间 n. (During)人名；(法)迪兰；(瑞典、利比)杜林
duty	 n. 责任；[税收] 关税；职务
each	 adj. 每；各自的 adv. 每个；各自 pron. 每个；各自
ear	 n. 耳朵；穗；听觉；倾听 vi. （美俚）听见；抽穗
early	 adj. 早期的；早熟的 adv. 提早；在初期 n. (Early)人名；(英)厄尔利
earth	 n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴 v. 把（电线）[电] 接地；盖（土）；追赶入洞穴
east	 n. 东方；东风；东方国家 adj. 东方的；向东的；从东方来的 adv. 向东方，在东方
easy	 adj. 容易的；舒适的 adv. 不费力地，从容地 vi. 停止划桨 vt. 发出停划命令
edge	 n. 边缘；优势；刀刃；锋利 v. 使锐利；将…开刃；给…加上边
education	 n. 教育；培养；教育学
effort	 n. 努力；成就
egg	 n. 蛋；卵子；家伙；鸡蛋 v. 煽动；怂恿
eight	 num. 八；八个；第八 adj. 八的 n. 八字形
eighteen	 n. 十八，十八个 adj. 十八个的，十八的 num. 十八
eighth	 adj. 第八的；八分之一的 num. 第八；八分之一
eighty	 n. 八十；八十岁；八十年代 adj. 八十的，八十个的；八十岁的 num. 八十
either	 adj. 两者之中任一的；两者之中每一的 prep. 任何一个 conj. 也（用于否定句或否定词组后）；根本 pron. 任一，两方，随便哪一个；两者中的一个或另一个
elder	 n. 老人；长辈；年长者；父辈 adj. 年长的；年龄较大的；资格老的
electric	 adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体
elephant	 n. 象；大号图画纸
eleven	 n. 十一；十一个 adj. 十一的；十一个的 num. 十一；十一个
else	 adv. 其他；否则；另外 adj. 别的；其他的 n. (Else)人名；(英)埃尔斯；(德)埃尔泽；(芬、丹)埃尔塞
empty	 adj. 空的；无意义的；无知的；徒劳的 v. 使失去；使…成为空的 n. 空车；空的东西
encourage	 v. 鼓励，怂恿；激励；支持
end	 n. 结束；目标；尽头；末端；死亡 v. 结束，终止；终结
enemy	 n. 敌人，仇敌；敌军 adj. 敌人的，敌方的
energy	 n. [物] 能量；精力；活力；精神
engineer	 n. 工程师；工兵；火车司机 v. 设计；策划；精明地处理
England	 n. 英格兰
English	 adj. 英国人的；英国的；英文的 n. 英语；英国人；英文；英格兰人 vt. 把…译成英语
enjoy	 v. 欣赏，享受；喜爱；使过得快活
enough	 adv. 足够地，充足地 n. 很多；充足 adj. 充足的 int. 够了！
enter	 v. 进入；开始；参加 n. [计] 输入；回车
environment	 n. 环境，外界
eraser	 n. 橡皮；擦除器；[计] 清除器
especially	 adv. 特别；尤其；格外
Europe	 n. 欧洲
European	 adj. 欧洲的；欧洲人的 n. 欧洲人
even	 adj. [数] 偶数的；平坦的；相等的 adv. 甚至；即使；还；实际上 v. 使平坦；使相等 n. (Even)人名；(法)埃旺；(德)埃文；(英)埃文
evening	 n. 晚上；傍晚；（联欢性的）晚会；后期 adj. 在晚上的；为晚上的；晚上用的 int. 晚上好（等于good evening）
ever	 adv. 永远；曾经；究竟 n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔
every	 adj. 每一的，每个的；每隔…的 n. (Every)人名；(英)埃夫里
everybody	 pron. 每个人；人人
